"","Number.of.Vehicles","Accident.Date","Time..24hr.","X1st.Road.Class","Road.Surface","Lighting.Conditions","Daylight.Dark","Weather.Conditions","Type.of.Vehicle","Casualty.Class","Casualty.Severity","Sex.of.Casualty","Age.of.Casualty"
"297",2,2017-11-14,1420,"A6033","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",61
"298",2,2017-11-19,1030,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",62
"299",2,2017-11-19,1515,"A646","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",19,2,2,"Male",47
"300",2,2017-11-20,1930,"U","Wet/Damp","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Female",NA
"301",2,2017-11-23,1610,"M62","Wet ¨ Damp","Darkness: Street Lights Present::On","Dark","Raining, no high winds",9,1,3,"Male",51
"302",2,2017-11-24,1407,"A672","Wet/Damp","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",37
"303",2,2017-11-25,1330,"U","Wet/Damp","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",66
"304",1,2017-11-27,1308,"U","Wet ¨ Damp","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Male",14
"305",2,2017-11-28,850,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",3,1,3,"Male",27
"306",2,2017-11-28,1426,"A629","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",35
"307",1,2017-11-28,1535,"U","Wet ¨ Damp","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Male",6
"308",1,2017-11-29,1835,"U","Wet/Damp","Darkness: Street Lights Present::On","Dark","Fine, no high winds",97,3,3,"Male",75
"309",1,2017-11-30,1635,"U","Wet/Damp","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,3,3,"Male",10
"310",2,2017-12-01,1055,"A646","Wet/Damp","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",73
"311",2,2017-12-01,1700,"U","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Male",44
"312",2,2017-12-04,850,"A58","Wet/Damp","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,2,"Male",12
"313",2,2017-12-01,1745,"M62","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Male",60
"314",2,2017-12-05,1120,"A646","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",19,1,3,"Male",18
"315",3,2017-12-06,1357,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,2,"Male",88
"316",2,2017-12-07,829,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",35
